Ticker,Score,Close,RSI,EMA_Score,MACD_Score,OBV_Score,Pred_Breakout,Pred_Reversal,Pred_EMA_Cross,Volume_Spike,Regime,Percentile
CGON,91.01,54.65999984741211,44.06,100.0,0.0,100.0,100.0,0.0,100.0,1.94,TREND,98.87
ADUR,90.68,14.890000343322754,54.53,100.0,200.0,100.0,-100.0,0.0,-100.0,3.18,TREND,98.83
TCMD,90.31,30.440000534057617,61.66,36.89,151.08,100.0,100.0,-58.28,-23.49,2.87,TREND,98.8
SHMD,90.09,8.329999923706055,76.07,87.33,200.0,100.0,99.64,0.0,-100.0,1.27,TREND,98.76
AEHR,89.86,28.71999931335449,73.42,100.0,200.0,100.0,-37.3,0.0,-100.0,1.33,TREND,98.72
EOSE,89.37,17.454999923706055,52.24,100.0,0.0,100.0,100.0,0.0,100.0,3.16,TREND,98.69
POOL,89.11,267.94000244140625,59.98,95.47,0.0,100.0,100.0,0.0,100.0,1.56,TREND,98.65
LTRX,88.67,6.940000057220459,71.33,100.0,200.0,100.0,-100.0,0.0,-100.0,1.2,TREND,98.62
SLVR,88.45,67.38739776611328,56.56,100.0,200.0,100.0,100.0,0.0,-100.0,0.67,TREND,98.58
BWIN,87.93,26.63999938964844,50.64,64.76,123.53,100.0,100.0,0.0,-100.0,1.59,TREND,98.54
NRC,87.39,22.239999771118164,77.34,100.0,200.0,100.0,-100.0,0.0,-100.0,2.2,TREND,98.51
CADL,86.07,6.399899959564209,57.5,100.0,200.0,100.0,-41.53,0.0,-100.0,1.83,RANGE,98.47
TALK,85.54,3.9700000286102295,71.43,16.99,200.0,100.0,85.28,0.0,-100.0,1.99,TREND,98.43
MULL,85.37,139.97000122070312,79.4,100.0,200.0,100.0,-100.0,0.0,-100.0,4.39,TREND,98.4
FEAM,85.2,3.920000076293945,59.82,100.0,200.0,100.0,98.19,0.0,-100.0,2.26,RANGE,98.36
ICHR,84.55,29.790000915527344,69.43,100.0,0.0,100.0,100.0,0.0,100.0,1.95,TREND,98.32
NB,83.78,6.599999904632568,42.8,-11.86,200.0,100.0,-35.93,0.0,-100.0,2.01,TREND,98.29
NEOV,83.75,4.579999923706055,69.3,100.0,183.7,100.0,-100.0,0.0,-100.0,6.48,TREND,98.25
OCS,83.13,25.239999771118164,79.81,100.0,200.0,100.0,11.56,0.0,-100.0,1.31,TREND,98.21
PESI,83.02,14.850000381469728,58.16,59.9,136.63,100.0,74.82,0.0,-100.0,1.38,TREND,98.18
FCFS,83.0,171.08999633789062,67.37,77.68,200.0,100.0,33.99,-86.83,-100.0,1.37,RANGE,98.14
FEIM,82.47,58.52000045776367,60.16,-3.63,200.0,100.0,100.0,0.0,-100.0,1.33,TREND,98.1
XTIA,82.16,1.8899999856948853,61.2,100.0,200.0,100.0,21.6,0.0,-100.0,0.74,TREND,98.07
ALZN,82.06,2.3350000381469727,55.88,11.7,175.1,100.0,100.0,0.0,-100.0,0.8,TREND,98.03
ZION,81.27,59.619998931884766,63.76,16.08,0.0,100.0,82.57,0.0,100.0,1.98,RANGE,98.0
AVR,80.5,5.119999885559082,82.92,100.0,200.0,100.0,-100.0,0.0,-100.0,1.61,TREND,97.94
CMBM,80.5,1.75,84.12,100.0,200.0,100.0,-100.0,0.0,-100.0,2.54,TREND,97.94
ROCK,80.36,57.0,58.59,93.19,0.0,100.0,52.88,0.0,100.0,2.51,TREND,97.89
HYMC,80.0,34.63999938964844,52.93,100.0,0.0,100.0,100.0,0.0,100.0,0.83,TREND,97.85
KRUS,79.96,75.34500122070312,60.79,100.0,0.0,100.0,100.0,0.0,100.0,1.91,TREND,97.81
SARK,79.05,28.36000061035156,66.99,10.3,197.35,100.0,97.54,0.0,-100.0,5.81,TREND,97.78
STSS,78.86,2.359999895095825,69.23,100.0,154.98,100.0,100.0,0.0,-100.0,0.0,TREND,97.74
QVCGP,78.74,4.139999866485596,60.05,50.63,190.28,-100.0,-38.0,0.0,-100.0,1.95,TREND,97.7
ORMP,78.36,3.670000076293945,51.37,100.0,110.88,100.0,100.0,0.0,-72.99,0.99,TREND,97.67
SAIC,78.15,111.0999984741211,77.69,-4.0,200.0,100.0,100.0,0.0,-100.0,1.73,TREND,97.63
WBTN,78.01,13.369999885559082,51.93,-49.37,200.0,3.98,100.0,0.0,-100.0,4.5,RANGE,97.59
STLD,77.88,173.58999633789062,64.93,35.43,-31.55,100.0,87.2,0.0,100.0,1.53,RANGE,97.56
AMZN,77.46,239.0599975585937,62.3,-39.52,200.0,100.0,100.0,0.0,-100.0,0.77,TREND,97.52
AZTA,77.43,40.0099983215332,59.3,100.0,0.0,100.0,100.0,0.0,44.49,1.96,TREND,97.49
AUGO,77.42,60.2400016784668,60.5,100.0,0.0,100.0,100.0,0.0,100.0,0.91,TREND,97.45
HAIN,77.33,1.2100000381469729,67.66,50.78,96.66,100.0,100.0,0.0,-73.54,2.1,TREND,97.41
SETM,77.24,35.04999923706055,48.13,66.96,0.0,100.0,100.0,0.0,100.0,2.38,TREND,97.38
NWE,77.17,68.72000122070312,67.5,76.94,0.0,100.0,4.28,0.0,100.0,2.44,RANGE,97.34
PPTA,77.05,32.22999954223633,55.67,100.0,0.0,100.0,100.0,-28.35,100.0,1.26,TREND,97.3
RAIL,76.9,11.649999618530272,60.03,43.56,200.0,-100.0,100.0,0.0,-100.0,2.08,TREND,97.27
SXTP,76.42,0.6082000136375427,80.33,100.0,188.16,100.0,-100.0,0.0,-100.0,1.89,TREND,97.23
TTMI,76.35,100.98999786376952,63.65,100.0,0.0,100.0,100.0,0.0,100.0,0.81,TREND,97.19
CEPT,76.12,12.880000114440918,69.28,100.0,200.0,100.0,-100.0,0.0,-100.0,0.66,TREND,97.16
OM,75.24,5.304999828338623,40.21,51.41,0.0,100.0,100.0,0.0,100.0,3.64,TREND,97.12
NKTX,75.16,2.049999952316284,45.45,-37.82,190.24,100.0,100.0,0.0,-100.0,0.91,TREND,97.08
ARCB,75.13,90.48999786376952,53.89,85.18,0.0,100.0,100.0,0.0,100.0,1.89,TREND,97.05
YORW,74.99,33.95000076293945,55.05,70.17,0.0,100.0,79.04,0.0,-32.24,1.57,RANGE,97.01
JCAP,74.94,22.559999465942383,32.39,-40.1,0.0,100.0,100.0,0.0,100.0,1.95,RANGE,96.98
JBSS,74.93,73.55000305175781,41.8,45.34,0.0,100.0,100.0,0.0,100.0,1.31,RANGE,96.94
MAXI,74.77,15.920000076293944,28.58,16.21,0.0,100.0,25.85,0.0,100.0,3.05,RANGE,96.9
NRIX,74.72,19.209999084472656,56.04,30.01,200.0,-100.0,100.0,0.0,-100.0,2.7,RANGE,96.87
MU,74.64,362.7550048828125,79.23,100.0,200.0,100.0,-100.0,0.0,-100.0,1.3,TREND,96.83
BKCH,74.59,82.9000015258789,56.75,100.0,200.0,-100.0,90.38,0.0,-100.0,0.45,TREND,96.79
FEP,74.58,55.5,58.72,6.31,200.0,57.6,100.0,0.0,-100.0,1.54,RANGE,96.76
APOG,74.49,36.900001525878906,71.75,100.0,0.0,100.0,100.0,0.0,65.24,2.15,TREND,96.72
GSIT,74.32,8.0600004196167,69.43,100.0,200.0,-100.0,-100.0,0.0,-100.0,0.8,TREND,96.68
WDC,74.16,221.5709991455078,60.55,100.0,0.0,100.0,100.0,0.0,100.0,0.87,TREND,96.65
MUU,74.04,157.32000732421875,81.57,100.0,200.0,100.0,-100.0,0.0,-100.0,0.76,TREND,96.61
AMOD,73.64,0.7569000124931335,66.26,100.0,123.43,100.0,51.06,0.0,-49.19,1.28,TREND,96.57
MRNA,73.28,41.83000183105469,57.77,100.0,0.0,100.0,100.0,0.0,100.0,0.71,TREND,96.54
CGEN,73.07,2.365000009536743,72.9,100.0,200.0,100.0,-100.0,0.0,-100.0,0.67,TREND,96.5
BNTX,72.74,109.01000213623048,49.49,100.0,0.0,100.0,83.65,0.0,8.78,1.73,TREND,96.47
BIOA,72.4,20.13999938964844,18.37,100.0,0.0,100.0,24.03,0.0,100.0,1.17,TREND,96.43
GOOD,72.27,11.71500015258789,77.59,89.38,161.26,100.0,-23.45,0.0,-83.11,1.49,TREND,96.39
VKTX,72.23,33.900001525878906,46.22,100.0,200.0,100.0,-27.64,0.0,-100.0,0.0,TREND,96.36
LFVN,71.5,6.34499979019165,64.67,-4.31,200.0,72.51,73.51,0.0,-100.0,1.36,RANGE,96.32
AVGU,71.38,35.34000015258789,69.47,39.3,200.0,100.0,85.52,0.0,-100.0,6.29,TREND,96.28
CMTL,71.28,5.980000019073486,60.31,100.0,39.79,100.0,100.0,-51.54,19.45,0.82,TREND,96.25
CMCO,70.85,20.799999237060547,54.5,83.61,0.0,100.0,100.0,0.0,100.0,1.7,TREND,96.21
SOPH,70.77,5.449999809265137,67.52,100.0,200.0,100.0,-69.52,0.0,-100.0,0.0,TREND,96.17
KELYA,70.58,10.140000343322754,38.41,83.63,0.0,100.0,100.0,0.0,100.0,1.29,TREND,96.14
